Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
121.34483;     -0.37867;      0.37954;     -0.36623;0.35298;     -0.37674;0.37416;     -0.35590;0.34533;     -0.37499;0.36819;     -0.39730;0.39837;     -0.38140;0.35213;     -0.41087;0.39667;     -0.41794;0.42114;     -0.40136;0.40277
122.34483;     -0.37877;      0.37996;     -0.36669;0.35322;     -0.37711;0.37428;     -0.35625;0.34537;     -0.37535;0.36804;     -0.39766;0.3985;     -0.38205;0.35171;     -0.41139;0.39688;     -0.41845;0.42139;     -0.40181;0.40256
123.34483;     -0.37943;      0.38014;     -0.36716;0.35333;     -0.37750;0.37448;     -0.35667;0.34526;     -0.37573;0.36812;     -0.39808;0.3987;     -0.38262;0.3514;     -0.41193;0.397;     -0.41892;0.42142;     -0.40223;0.40253
124.34483;     -0.37948;      0.38057;     -0.36764;0.35356;     -0.37784;0.37476;     -0.35709;0.34584;     -0.37611;0.36817;     -0.39853;0.39893;     -0.38325;0.35136;     -0.41246;0.39706;     -0.41943;0.42184;     -0.40272;0.40277
125.34483;     -0.37979;      0.38116;     -0.36810;0.35375;     -0.37821;0.37509;     -0.35750;0.34566;     -0.37653;0.36832;     -0.39897;0.39923;     -0.38384;0.35137;     -0.41298;0.39738;     -0.41995;0.42215;     -0.40319;0.40326
126.34483;     -0.38041;      0.38145;     -0.36849;0.35412;     -0.37857;0.37546;     -0.35793;0.34606;     -0.37690;0.36859;     -0.39946;0.3996;     -0.38445;0.35146;     -0.41349;0.39773;     -0.42034;0.42258;     -0.40364;0.40344
127.34483;     -0.38092;      0.38218;     -0.36893;0.35442;     -0.37892;0.37584;     -0.35839;0.34635;     -0.37731;0.3689;     -0.39989;0.39997;     -0.38508;0.35157;     -0.41397;0.39814;     -0.42079;0.42291;     -0.40415;0.40382
128.34483;     -0.38114;      0.38256;     -0.36930;0.35474;     -0.37933;0.3762;     -0.35884;0.34672;     -0.37772;0.36924;     -0.40033;0.4004;     -0.38565;0.35174;     -0.41448;0.39856;     -0.42121;0.42332;     -0.40456;0.40409
129.34483;     -0.38133;      0.38295;     -0.36970;0.3551;     -0.37972;0.37654;     -0.35927;0.34706;     -0.37815;0.36965;     -0.40077;0.40085;     -0.38630;0.35195;     -0.41498;0.39894;     -0.42163;0.42379;     -0.40498;0.40438
130.34483;     -0.38206;      0.38330;     -0.37013;0.35544;     -0.38013;0.37689;     -0.35972;0.34738;     -0.37864;0.37005;     -0.40120;0.40137;     -0.38689;0.35217;     -0.41550;0.39931;     -0.42206;0.42429;     -0.40544;0.4047
131.34483;     -0.38255;      0.38358;     -0.37059;0.35578;     -0.38055;0.37724;     -0.36017;0.34776;     -0.37910;0.37045;     -0.40166;0.40186;     -0.38744;0.35239;     -0.41604;0.39966;     -0.42247;0.42477;     -0.40584;0.40511
132.34483;     -0.38284;      0.38408;     -0.37104;0.35608;     -0.38100;0.37759;     -0.36061;0.3481;     -0.37958;0.37087;     -0.40211;0.40236;     -0.38806;0.35264;     -0.41655;0.40003;     -0.42287;0.4253;     -0.40628;0.40555
133.34483;     -0.38313;      0.38424;     -0.37149;0.35638;     -0.38144;0.37792;     -0.36106;0.34849;     -0.38000;0.37126;     -0.40258;0.40286;     -0.38864;0.35287;     -0.41705;0.40038;     -0.42327;0.42582;     -0.40678;0.40601
134.34483;     -0.38343;      0.38474;     -0.37200;0.35669;     -0.38187;0.37824;     -0.36150;0.34885;     -0.38046;0.37167;     -0.40309;0.40331;     -0.38923;0.35315;     -0.41758;0.40076;     -0.42365;0.42637;     -0.40724;0.40644
135.34483;     -0.38426;      0.38524;     -0.37246;0.35701;     -0.38227;0.37859;     -0.36193;0.34916;     -0.38091;0.37208;     -0.40359;0.4038;     -0.38986;0.35344;     -0.41808;0.40111;     -0.42407;0.42688;     -0.40772;0.40694
